srp,price_info,room_info,size_info,main_info,possession_info,nearby_places,Airport,Hospital,Market
srp-1,₹1.95 Cr,"5 BHK, 3 BHK, 5 BHK, 4 BHK, 5 BHK",0 sq.ft,"New Launch₹1.95 Cr - 4.11 CrEMI starts at ₹96.97 KEvos AlchemyRERABy  Evos Buildcon Pvt. Ltd.3, 3.5, 4.5 BHK Flats for sale in RaghunathpurPossession DateOct, 2028Average Price₹8.65 K/sq.ftPossession StatusUnder ConstructionLooking for Apartment in Raghunathpur, Bhubaneswar ?. Evos Alchemy is a project by Evos Buildcon Pvt. Ltd.. The project is offering 3 BHK, 3.5 BHK, 4 BHK, 4.5 BHK. It is set in 6.9 Acres . Evos Alchemy is a Under Construction residential project. There are 750 units. There are 4 buildings in this project. As per the area plan, units are in the size range of 2258.0 - 4755.0 sq.ft.. Evos Alchemy is located in...more5","Possession DateOct, 2028Average Price",Kidzee Raghunathpuris 0.1 km awayClinic of Laparoscopic surgery Dr Tanmaya Pandais 1 km awaymore...Evos Buildcon Pvt. Ltd.Developer + 4 moreBrochureContact Sellers,No,Yes,No
srp-2,₹1.25 Cr,"5 BHK, 3 BHK, 4 BHK",,"View   Tour₹1.25 Cr - 1.38 CrEMI starts at ₹62.06 KJB EstellaRERABy  J B Assets Pvt Ltd3.5, 4, 4.5 BHK Villas for sale in HanspalPossession DateApr, 2026Average Price₹5.44 K/sq.ftPossession StatusUnder ConstructionWelcome to JB Estella European Villas &ndash; Your Gateway to Spanish Elegance in Bhubaneswar, Odisha!
  
Nestled in the heart of Bhubaneswar, JB Estella European Villas brings you a unique blend of luxurious living inspired by the charm and allure of Spanish 3 BHK and 4 BHK Villas. Take the luxurious chance to embrace a lifestyle of opulence and sophistication amidst a serene and lush environment. With m...more5","Possession DateApr, 2026Average Price",Balianta High Schoolis 0.1 km awayHi-Tech Medical Pandara Maa Tairini Nadia Raniis 2.7 km awaymore...J B Assets Pvt LtdDeveloper + 1 moreBrochureContact Sellers,No,Yes,No
srp-3,₹95.16 L,"5, 4 BHK",,"₹95.16 L - 2.02 CrEMI starts at ₹47.24 KShuvam AvenueRERAMarketed by  Orimark Properties2, 3, 3.5, 4 BHK Flats for sale in GhatikiaPossession DateJun, 2030Average Price₹11.89 K/sq.ftPossession StatusUnder Construction5","Possession DateJun, 2030Average Price",D C M Saraswati Vidya Mandiris 1.7 km awayASSURE HOSPITALis 1.8 km awaymore...OPOrimark PropertiesSeller + 4 moreBrochureContact Sellers,No,Yes,No
srp-4,₹1.94 Cr,"5, 4 BHK, 3 BHK, 5 BHK, 4 BHK",0 sq.ft,"View   Tour₹1.94 Cr - 2.64 CrEMI starts at ₹96.46 KFalcon TatvaRERAMarketed by  FALCON REAL ESTATE3, 3.5, 4 BHK Flats for sale in KhandagiriPossession DateFeb, 2028Average Price₹8.25 K/sq.ftPossession StatusUnder ConstructionFalcon Tatva is a residential project in Khandagiri, Bhubaneswar . It is set in an area of 3.92 Acres . Falcon Tatva offers Apartment. Available configurations include 3 BHK, 3.5 BHK, 4 BHK. Apartment, as per the area plan, are in the size range of 2355.0 - 3205.0 sq.ft.. The property is Under Construction. There are 4 buildings for sale. The project was launched in May 2023 and possession date of Falcon Ta...more5","Possession DateFeb, 2028Average Price",Brilliant Mindsis 0.2 km awayDoctors Patholab (Diagnostic Service in Bhubaneswar )is 1.6 km awaymore...FALCON REAL ESTATESeller + 5 moreBrochureContact Sellers,No,No,No
srp-5,₹3.45 Cr,"3, 4 BHK",,"₹3.45 Cr - 4.4 CrEMI starts at ₹1.71 LacsDN Yoo OdishaRERAMarketed by  Om shri sai3, 4 BHK Flats for sale in Gajapati NagarPossession DateFeb, 2029Average Price₹22.35 K/sq.ftPossession StatusUnder Construction5","Possession DateFeb, 2029Average Price","Firstcry Intellitots Preschool & Daycare - Gajapati Nagar, Bhubnaneshwaris 1 km awayDr. Manas Ranjan Kar - Most Popular Neuro Interventional Radiologist Bhubaneswar Odishais 2 km awaymore...Om shri saiSeller + 3 moreBrochureContact Sellers",No,No,No
srp-6,₹98.12 L,3 BHK,,"₹98.12 L - 1.07 CrEMI starts at ₹48.71 KJIVA AT GATIKRUSHNA GREENRERABy  Panda Infratech3 BHK Flat for sale in AlarpurPossession DateMay, 2026Average Price₹5.25 K/sq.ftPossession StatusUnder Construction5","Possession DateMay, 2026Average Price",Maa Jagulai Saraswati Shishu Mandiris 0.2 km awayVIKASH HOSPITAL BHUBANESWARis 3.3 km awaymore...Panda InfratechDeveloperBrochureContact Developer,No,Yes,No
srp-7,₹98.01 L,3 BHK,,"₹98.01 L - 1.33 CrEMI starts at ₹48.66 KCodename IbhaRERAMarketed by  ODISHA ONE PROPETIES 3 BHK Flat for sale in KhordhaPossession DateJun, 2029Average Price₹5.55 K/sq.ftPossession StatusUnder Construction5","Possession DateJun, 2029Average Price","S.S.V.M,Chandakais 1.4 km awayAhalya Hospitalis 6 km awaymore...OOODISHA ONE PROPETIES Seller + 4 moreBrochureContact Sellers",No,Yes,No
srp-8,₹1.47 Cr,"3, 4 BHK, 3 BHK, 4 BHK",,"₹1.47 Cr - 2.17 CrEMI starts at ₹72.92 KMotwani AnantaraRERAMarketed by  Beyond360 Realty3, 4 BHK Flats for sale in JharapadaPossession DateDec, 2028Average Price₹6.8 K/sq.ftPossession StatusUnder ConstructionMotwani Anantara is a project by Motwani Constructions Pvt. Ltd. in Bhubaneswar . It is a Under Construction project. Motwani Anantara offers some of the most conveniently designed Apartment. Located in Jharapada, it is a residential project. The project is spread over 4 Acres . It has 320 units. There are 4 buildings in this project. Motwani Anantara offers some of the most exclusive 3 BHK, 4 BHK. As per t...more5","Possession DateDec, 2028Average Price",Jharapada High Schoolis 0.1 km awayUPHC Jharapadais 0.1 km awaymore...BRBeyond360 RealtySeller + 1 moreBrochureContact Sellers,No,No,No
srp-9,₹17.4 L,,1740 sq.ft,"₹17.4 L - 24.0 LEMI starts at ₹9.21 KKrishna VatikaMarketed by  My Nest Assets Pvt LtdResidential Plots for sale in PhulnakharaPossession DateOct, 2024Plot area1740 sq.ftAverage Price1.0k/sq.ft5","Possession DateOct, 2024Plot area1740 sq",St. Xavier's High Schoolis 1.7 km awayDr Prasant Kumar Parida Medical Oncologistis 3.3 km awaymore...My Nest Assets Pvt LtdSellerView PhoneContact Seller,No,Yes,No
srp-10,₹83.36 L,"2, 3, 4, 5 BHK, 2 BHK, 3 BHK, 4 BHK",0 sq.ft,"₹83.36 L - 5.6 CrEMI starts at ₹41.38 KStalwart PrideRERABy  Stalwart Projects Pvt Ltd2, 3, 4, 5 BHK Flats for sale in PokhariputPossession DateJan, 2027Average Price₹8.85 K - 10.65 K/sq.ftPossession StatusUnder ConstructionCheck out this residential project for sale by Stalwart Projects Pvt Ltd in Pokhariput, Bhubaneswar . Stalwart Pride offers Apartment as property type. The project has been developed in an area of 0.42 Acres . It is currently Under Construction. Available configurations include 2 BHK, 3 BHK, 4 BHK. As per the area plan, units are in the size range of 942.0 - 3139.0 sq.ft.. Stalwart Pride was launched in Feb...more5","Possession DateJan, 2027Average Price",Radhika Pre-schoolis 0.3 km awayDivine Super Speciality Clinicis 1.8 km awaymore...Stalwart Projects Pvt LtdDeveloper + 1 moreBrochureContact Sellers,No,Yes,No
